City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Benton Harbor,US,2021-10-20 22:09:39,42.1167,-86.4542,70.54,56,20,5.75
1,Punta Arenas,CL,2021-10-20 22:13:33,-53.15,-70.9167,51.82,50,40,19.57
2,Rikitea,PF,2021-10-20 22:13:39,-23.1203,-134.9692,74.68,73,10,20.45
3,Leningradskiy,RU,2021-10-20 22:09:26,69.3833,178.4167,25.39,96,100,15.05
4,Sitka,US,2021-10-20 22:13:40,57.0531,-135.33,46.13,91,100,7.16
5,Vaini,TO,2021-10-20 22:13:40,-21.2,-175.2,78.96,89,75,8.05
6,Manicore,BR,2021-10-20 22:13:41,-5.8092,-61.3003,83.64,66,75,2.44
7,Faanui,PF,2021-10-20 22:10:30,-16.4833,-151.75,77.86,82,14,7.31
8,Hithadhoo,MV,2021-10-20 22:13:41,-0.6,73.0833,81.09,77,100,11.21
9,Alice Springs,AU,2021-10-20 22:13:42,-23.7,133.8833,74.75,41,0,11.5
10,Teguldet,RU,2021-10-20 22:13:42,57.3064,88.1667,35.73,81,82,4.99
11,Atuona,PF,2021-10-20 22:13:43,-9.8,-139.0333,76.87,82,16,15.03
12,Kodiak,US,2021-10-20 22:13:43,57.79,-152.4072,44.11,76,90,5.75
13,Ngunguru,NZ,2021-10-20 22:13:44,-35.6167,174.5,60.17,95,100,19.04
14,Port Alfred,ZA,2021-10-20 22:13:44,-33.5906,26.891,63.14,86,23,16.22
15,Bandarbeyla,SO,2021-10-20 22:13:45,9.4942,50.8122,76.95,84,40,6.76
16,Bubaque,GW,2021-10-20 22:13:45,11.2833,-15.8333,82.67,78,100,14.0
17,Saldanha,ZA,2021-10-20 22:10:33,-33.0117,17.9442,59.65,85,55,17.31
18,Cockburn Town,TC,2021-10-20 22:13:46,21.4612,-71.1419,82.26,79,89,17.0
19,Rafaela,AR,2021-10-20 22:13:46,-31.2503,-61.4867,82.06,27,25,1.99
20,College,US,2021-10-20 22:13:47,64.8569,-147.8028,39.15,62,75,0.0
21,Nikolskoye,RU,2021-10-20 22:09:13,59.7035,30.7861,52.88,89,100,16.96
22,Ust-Nera,RU,2021-10-20 22:13:48,64.5667,143.2,4.26,95,100,1.83
23,Hilo,US,2021-10-20 22:12:25,19.7297,-155.09,80.33,66,40,13.8
24,Oum Hadjer,TD,2021-10-20 22:13:48,13.2954,19.6966,82.81,55,80,5.53
25,Vila Velha,BR,2021-10-20 22:13:49,-20.3297,-40.2925,66.15,88,75,8.05
26,Weiser,US,2021-10-20 22:13:49,44.251,-116.9693,70.0,31,98,14.83
27,Puerto Ayora,EC,2021-10-20 22:11:24,-0.7393,-90.3518,76.96,80,97,10.0
28,Ushuaia,AR,2021-10-20 22:10:04,-54.8,-68.3,51.46,40,20,13.8
29,Cururupu,BR,2021-10-20 22:13:50,-1.8283,-44.8683,77.74,82,14,4.07
30,Pinawa,CA,2021-10-20 22:13:51,50.1489,-95.8811,43.54,42,30,7.38
31,Barrow,US,2021-10-20 22:10:08,71.2906,-156.7887,28.42,86,90,27.63
32,Thaton,MM,2021-10-20 22:13:51,16.9206,97.3714,75.02,93,37,2.82
33,Kamaishi,JP,2021-10-20 22:13:52,39.2667,141.8833,50.34,73,6,7.76
34,Matagami,CA,2021-10-20 22:10:27,49.7502,-77.6328,36.43,89,100,7.52
35,Bluff,NZ,2021-10-20 22:10:22,-46.6,168.3333,48.42,55,100,3.65
36,Maymyo,MM,2021-10-20 22:13:53,22.0333,96.4667,66.38,95,100,1.7
37,Grand Gaube,MU,2021-10-20 22:13:53,-20.0064,57.6608,74.37,75,48,5.01
38,Dikson,RU,2021-10-20 22:13:54,73.5069,80.5464,28.0,62,87,12.66
39,Placido De Castro,BR,2021-10-20 22:13:54,-10.3353,-67.1856,85.17,55,99,2.73
40,Hermanus,ZA,2021-10-20 22:10:30,-34.4187,19.2345,63.9,88,83,7.61
41,Inuvik,CA,2021-10-20 22:13:55,68.3499,-133.7218,25.97,80,100,6.35
42,Albany,US,2021-10-20 22:09:18,42.6001,-73.9662,66.88,58,67,6.51
43,Busselton,AU,2021-10-20 22:13:56,-33.65,115.3333,53.1,73,98,15.73
44,Arraial Do Cabo,BR,2021-10-20 22:13:56,-22.9661,-42.0278,64.18,83,100,11.56
45,Saint-Augustin,CA,2021-10-20 22:13:56,51.226,-58.6502,45.19,86,100,13.71
46,Quatre Cocos,MU,2021-10-20 22:13:57,-20.2078,57.7625,74.08,81,52,9.62
47,Victoria,HK,2021-10-20 22:13:57,22.2855,114.1577,79.32,86,87,4.0
48,Yulara,AU,2021-10-20 22:13:58,-25.2406,130.9889,71.44,43,0,10.36
49,Castro,BR,2021-10-20 22:13:58,-24.7911,-50.0119,53.42,89,72,7.05
50,Bethanien,NA,2021-10-20 22:13:59,-26.502,17.1583,69.66,21,47,6.22
51,Mataura,NZ,2021-10-20 22:13:59,-46.1927,168.8643,49.17,57,100,3.2
52,Marawi,PH,2021-10-20 22:14:00,7.9986,124.2928,64.65,93,100,1.79
53,Sumenep,ID,2021-10-20 22:14:00,-7.0167,113.8667,81.81,76,100,3.13
54,Sao Filipe,CV,2021-10-20 22:14:01,14.8961,-24.4956,82.36,59,0,8.88
55,Gornopravdinsk,RU,2021-10-20 22:14:01,60.05,69.9,36.55,96,100,7.47
56,Palma Del Rio,ES,2021-10-20 22:14:02,37.7002,-5.2812,71.06,45,9,2.73
57,Gaya,IN,2021-10-20 22:14:03,24.7833,85.0,69.39,81,62,5.32
58,Sao Joao Da Barra,BR,2021-10-20 22:14:04,-21.6403,-41.0511,65.12,92,100,10.8
59,Cidreira,BR,2021-10-20 22:14:04,-30.1811,-50.2056,63.37,66,94,15.37
60,Khatanga,RU,2021-10-20 22:14:04,71.9667,102.5,22.14,97,100,5.28
61,Vestmannaeyjar,IS,2021-10-20 22:14:05,63.4427,-20.2734,38.61,67,100,19.28
62,Yellowknife,CA,2021-10-20 22:14:06,62.456,-114.3525,44.42,79,90,15.99
63,Tahta,EG,2021-10-20 22:14:06,26.7693,31.5021,72.86,42,27,14.76
64,Korla,CN,2021-10-20 22:14:07,41.7597,86.1469,51.73,28,27,1.05
65,Civitavecchia,IT,2021-10-20 22:14:07,42.0933,11.7967,59.0,88,82,8.9
66,Llangefni,GB,2021-10-20 22:14:08,53.2556,-4.3106,53.38,71,75,21.85
67,Jamestown,US,2021-10-20 22:09:28,42.097,-79.2353,63.84,59,1,6.91
68,Vila Franca Do Campo,PT,2021-10-20 22:14:08,37.7167,-25.4333,63.01,73,60,2.24
69,Coahuayana,MX,2021-10-20 22:14:09,18.7333,-103.6833,87.28,72,36,5.48
70,Mar Del Plata,AR,2021-10-20 22:12:49,-38.0023,-57.5575,60.87,1,0,17.0
71,Butaritari,KI,2021-10-20 22:14:09,3.0707,172.7902,81.46,74,28,9.73
72,Berekua,DM,2021-10-20 22:14:10,15.2333,-61.3167,79.84,76,11,13.78
73,Itacare,BR,2021-10-20 22:14:10,-14.2775,-38.9967,77.85,83,30,6.76
74,Makakilo City,US,2021-10-20 22:14:11,21.3469,-158.0858,83.61,46,75,3.44
75,Kapaa,US,2021-10-20 22:14:11,22.0752,-159.319,82.47,64,1,1.99
76,Esperance,AU,2021-10-20 22:10:41,-33.8667,121.9,56.98,84,11,15.68
